Category,Book Name,Book Rate,Book Price(£),Book Availability,Book Url
Historical Fiction,While You Were Mine,41.32,Five,In stock,https://books.toscrape.com/catalogue/while-you-were-mine_97/index.html
Historical Fiction,The Secret Healer,34.56,Three,In stock,https://books.toscrape.com/catalogue/the-secret-healer_80/index.html
Historical Fiction,Starlark,25.83,Three,In stock,https://books.toscrape.com/catalogue/starlark_56/index.html
Historical Fiction,Lost Among the Living,27.7,Four,In stock,https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html
Historical Fiction,A Spy's Devotion (The Regency Spies of London #1),16.97,Five,In stock,https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,In stock,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,In stock,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
Sequential Art,This One Summer,19.49,Four,In stock,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
Sequential Art,The Nameless City (The Nameless City #1),38.16,Four,In stock,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
Sequential Art,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,In stock,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
Sequential Art,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,In stock,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
Sequential Art,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,In stock,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Sequential Art,"Pop Gun War, Volume 1: Gift",18.97,One,In stock,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
Sequential Art,Patience,10.16,Three,In stock,https://books.toscrape.com/catalogue/patience_916/index.html
Sequential Art,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,In stock,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
Sequential Art,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,In stock,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
Sequential Art,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
Sequential Art,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Sequential Art,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
Sequential Art,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,In stock,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
Sequential Art,I am a Hero Omnibus Volume 1,54.63,Three,In stock,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
Sequential Art,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,In stock,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
Sequential Art,Danganronpa Volume 1,51.99,Four,In stock,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
Sequential Art,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,In stock,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
Sequential Art,Camp Midnight,17.08,Four,In stock,https://books.toscrape.com/catalogue/camp-midnight_886/index.html
Sequential Art,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,In stock,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
Sequential Art,The Shadow Hero (The Shadow Hero),33.14,One,In stock,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html
Sequential Art,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,In stock,https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html
Sequential Art,Batman: The Long Halloween (Batman),36.5,Two,In stock,https://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html
Sequential Art,Batman: The Dark Knight Returns (Batman),15.38,Five,In stock,https://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html
Sequential Art,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Four,In stock,https://books.toscrape.com/catalogue/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html
Sequential Art,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,One,In stock,https://books.toscrape.com/catalogue/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html
Sequential Art,Through the Woods,25.38,Two,In stock,https://books.toscrape.com/catalogue/through-the-woods_772/index.html
Sequential Art,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Five,In stock,https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
Sequential Art,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Four,In stock,https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html
Sequential Art,Robin War,47.82,Three,In stock,https://books.toscrape.com/catalogue/robin-war_730/index.html
Sequential Art,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Two,In stock,https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html
Sequential Art,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Two,In stock,https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html
Sequential Art,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Two,In stock,https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html
Sequential Art,El Deafo,57.62,Five,In stock,https://books.toscrape.com/catalogue/el-deafo_691/index.html
Sequential Art,Batman: Europa,32.01,Two,In stock,https://books.toscrape.com/catalogue/batman-europa_668/index.html
Sequential Art,Art Ops Vol. 1,48.8,Three,In stock,https://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html
Sequential Art,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,Two,In stock,https://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html
Sequential Art,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Four,In stock,https://books.toscrape.com/catalogue/fruits-basket-vol-9-fruits-basket-9_563/index.html
Sequential Art,Roller Girl,14.1,Five,In stock,https://books.toscrape.com/catalogue/roller-girl_540/index.html
Sequential Art,"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,One,In stock,https://books.toscrape.com/catalogue/fruits-basket-vol-7-fruits-basket-7_468/index.html
Sequential Art,"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,Four,In stock,https://books.toscrape.com/catalogue/fruits-basket-vol-6-fruits-basket-6_427/index.html
Sequential Art,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,Three,In stock,https://books.toscrape.com/catalogue/death-note-vol-6-give-and-take-death-note-6_425/index.html
Sequential Art,"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,One,In stock,https://books.toscrape.com/catalogue/fruits-basket-vol-5-fruits-basket-5_376/index.html
Sequential Art,"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,One,In stock,https://books.toscrape.com/catalogue/death-note-vol-5-whiteout-death-note-5_368/index.html
Sequential Art,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,Two,In stock,https://books.toscrape.com/catalogue/the-demon-prince-of-momochi-house-vol-4-the-demon-prince-of-momochi-house-4_344/index.html
Sequential Art,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,Four,In stock,https://books.toscrape.com/catalogue/fruits-basket-vol-4-fruits-basket-4_321/index.html
Sequential Art,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,Three,In stock,https://books.toscrape.com/catalogue/the-wicked-the-divine-vol-3-commercial-suicide-the-wicked-the-divine_287/index.html
Sequential Art,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,Five,In stock,https://books.toscrape.com/catalogue/the-sandman-vol-3-dream-country-the-sandman-volumes-3_279/index.html
Sequential Art,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,Five,In stock,https://books.toscrape.com/catalogue/saga-volume-3-saga-collected-editions-3_216/index.html
Sequential Art,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,Three,In stock,https://books.toscrape.com/catalogue/prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html
Sequential Art,Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,One,In stock,https://books.toscrape.com/catalogue/persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html
Sequential Art,Original Fake,31.45,Three,In stock,https://books.toscrape.com/catalogue/original-fake_203/index.html
Sequential Art,"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,One,In stock,https://books.toscrape.com/catalogue/grayson-vol-3-nemesis-grayson-3_164/index.html
Sequential Art,"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,Two,In stock,https://books.toscrape.com/catalogue/fruits-basket-vol-3-fruits-basket-3_159/index.html
Sequential Art,"Black Butler, Vol. 1 (Black Butler #1)",49.31,One,In stock,https://books.toscrape.com/catalogue/black-butler-vol-1-black-butler-1_130/index.html
Sequential Art,Awkward,38.02,Two,In stock,https://books.toscrape.com/catalogue/awkward_124/index.html
Sequential Art,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,One,In stock,https://books.toscrape.com/catalogue/the-sandman-vol-2-the-dolls-house-the-sandman-volumes-2_110/index.html
Sequential Art,"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,Three,In stock,https://books.toscrape.com/catalogue/saga-volume-2-saga-collected-editions-2_107/index.html
Sequential Art,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,Five,In stock,https://books.toscrape.com/catalogue/fruits-basket-vol-2-fruits-basket-2_100/index.html
Sequential Art,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,Four,In stock,https://books.toscrape.com/catalogue/y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html
Sequential Art,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,Two,In stock,https://books.toscrape.com/catalogue/the-wicked-the-divine-vol-1-the-faust-act-the-wicked-the-divine_86/index.html
Sequential Art,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,Three,In stock,https://books.toscrape.com/catalogue/the-sandman-vol-1-preludes-and-nocturnes-the-sandman-volumes-1_79/index.html
Sequential Art,The Complete Maus (Maus #1-2),10.64,Three,In stock,https://books.toscrape.com/catalogue/the-complete-maus-maus-1-2_62/index.html
Sequential Art,"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,Three,In stock,https://books.toscrape.com/catalogue/skip-beat-vol-01-skip-beat-1_55/index.html
Sequential Art,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,One,In stock,https://books.toscrape.com/catalogue/saga-volume-1-saga-collected-editions-1_48/index.html
Sequential Art,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,Five,In stock,https://books.toscrape.com/catalogue/rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html
Sequential Art,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,Four,In stock,https://books.toscrape.com/catalogue/paper-girls-vol-1-paper-girls-1-5_44/index.html
Sequential Art,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,Three,In stock,https://books.toscrape.com/catalogue/ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html
Sequential Art,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,Four,In stock,https://books.toscrape.com/catalogue/ms-marvel-vol-1-no-normal-ms-marvel-2014-2015-1_34/index.html
Sequential Art,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,Three,In stock,https://books.toscrape.com/catalogue/hawkeye-vol-1-my-life-as-a-weapon-hawkeye-1_24/index.html
Sequential Art,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,Four,In stock,https://books.toscrape.com/catalogue/giant-days-vol-1-giant-days-1-4_22/index.html
Sequential Art,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,Five,In stock,https://books.toscrape.com/catalogue/fruits-basket-vol-1-fruits-basket-1_21/index.html
Sequential Art,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,Five,In stock,https://books.toscrape.com/catalogue/bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7/index.html
Sequential Art,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,Four,In stock,https://books.toscrape.com/catalogue/ajin-demi-human-volume-1-ajin-demi-human-1_4/index.html
Classics,The Secret Garden,15.08,Four,In stock,https://books.toscrape.com/catalogue/the-secret-garden_413/index.html
Classics,The Metamorphosis,28.58,One,In stock,https://books.toscrape.com/catalogue/the-metamorphosis_409/index.html
Classics,The Pilgrim's Progress,50.26,Two,In stock,https://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html
Classics,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,Two,In stock,https://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html
Classics,Little Women (Little Women #1),28.07,Four,In stock,https://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html
Classics,Gone with the Wind,32.49,Three,In stock,https://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html
Classics,Candide,58.63,Three,In stock,https://books.toscrape.com/catalogue/candide_316/index.html
Classics,Animal Farm,57.22,Three,In stock,https://books.toscrape.com/catalogue/animal-farm_313/index.html
Classics,Wuthering Heights,17.73,Three,In stock,https://books.toscrape.com/catalogue/wuthering-heights_307/index.html
Classics,The Picture of Dorian Gray,29.7,Two,In stock,https://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html
Classics,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,Four,In stock,https://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html
Classics,Beowulf,38.35,Two,In stock,https://books.toscrape.com/catalogue/beowulf_126/index.html
Classics,And Then There Were None,35.01,Two,In stock,https://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html
Classics,The Story of Hong Gildong,43.19,Four,In stock,https://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html
Classics,The Little Prince,45.42,Two,In stock,https://books.toscrape.com/catalogue/the-little-prince_72/index.html
Classics,Sense and Sensibility,37.46,One,In stock,https://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html
Classics,Of Mice and Men,47.11,Two,In stock,https://books.toscrape.com/catalogue/of-mice-and-men_37/index.html
Classics,Emma,32.93,Two,In stock,https://books.toscrape.com/catalogue/emma_17/index.html
Classics,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,One,In stock,https://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html
Philosophy,Sophie's World,15.94,Five,In stock,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Philosophy,The Death of Humanity: and the Case for Life,58.11,Four,In stock,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
Philosophy,The Stranger,17.44,Four,In stock,https://books.toscrape.com/catalogue/the-stranger_861/index.html
Philosophy,Proofs of God: Classical Arguments from Tertullian to Barth,54.21,One,In stock,https://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html
Philosophy,Kierkegaard: A Christian Missionary to Christians,47.13,One,In stock,https://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html
Philosophy,"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,Five,In stock,https://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html
Philosophy,Critique of Pure Reason,20.75,One,In stock,https://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html
Philosophy,"Run, Spot, Run: The Ethics of Keeping Pets",20.02,One,In stock,https://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html
Philosophy,The Nicomachean Ethics,36.34,One,In stock,https://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html
Philosophy,Meditations,25.89,Two,In stock,https://books.toscrape.com/catalogue/meditations_33/index.html
Philosophy,Beyond Good and Evil,43.38,One,In stock,https://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html
Romance,Chase Me (Paris Nights #2),25.27,Five,In stock,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Romance,Black Dust,34.53,Five,In stock,https://books.toscrape.com/catalogue/black-dust_976/index.html
